index,datetime,z,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau,timestamp
603,2024-04-15 15:05:45.935766,1.565,1.605,1.564928055600218,0.0151959473515874,1.527850891386326,-0.667514932954824,0.4414285714285714,13.638268947601318
604,2024-04-15 15:05:45.957438,1.565,1.605,1.56493070612946,0.0190596794437017,1.5294329269748217,-0.6681540602798054,0.4414285714285714,13.659940958023071
605,2024-04-15 15:05:45.978933,1.56,1.605,1.56026219941606,0.0093241729618268,1.5234600675378671,-0.66574111540355,0.4428571428571428,13.68143606185913
606,2024-04-15 15:05:46.000344,1.56,1.605,1.5599155443710184,0.0137925437538126,1.525379665855501,-0.6665165932987337,0.4428571428571428,13.702847003936768
607,2024-04-15 15:05:46.022691,1.565,1.605,1.5646138258511948,0.0306507104100425,1.534137529410605,-0.6700545391317313,0.4407142857142857,13.725193977355957
608,2024-04-15 15:05:46.044271,1.56,1.605,1.5603135943245194,0.0188260230854045,1.5270414509346184,-0.6671879507032323,0.4421428571428571,13.746773958206177
609,2024-04-15 15:05:46.066446,1.56,1.605,1.5599768467701014,0.0207925408706506,1.5275642069651458,-0.6673991244379398,0.4421428571428571,13.768949031829834
610,2024-04-15 15:05:46.088053,1.555,1.605,1.55527588415243,0.010490271305199,1.5213490303045811,-0.6648884625578667,0.4435714285714285,13.790555953979492
611,2024-04-15 15:05:46.110066,1.56,1.605,1.5596160489076318,0.0272386943727137,1.5299796878040128,-0.6683748248992584,0.4421428571428571,13.81256890296936
612,2024-04-15 15:05:46.131833,1.56,1.605,1.559985416599546,0.028865112811987,1.5303067798731853,-0.668506952189573,0.4414285714285714,13.834336042404175
613,2024-04-15 15:05:46.153429,1.56,1.605,1.560018127116486,0.0291507075173232,1.5299010984194237,-0.6683430814063044,0.4414285714285714,13.855931997299194
614,2024-04-15 15:05:46.174881,1.56,1.605,1.5600219358626282,0.0292784590054624,1.5294112538127254,-0.6681452165999933,0.4414285714285714,13.877383947372437
615,2024-04-15 15:05:46.196335,1.56,1.605,1.5600230023964756,0.0293605483348668,1.5288987160804277,-0.6679381882118443,0.4414285714285714,13.89883804321289
616,2024-04-15 15:05:46.218639,1.555,1.605,1.5553313377071245,0.0167912906735179,1.5215319866692754,-0.6649626015961256,0.4435714285714285,13.921141862869263
617,2024-04-15 15:05:46.240175,1.56,1.605,1.559658212903923,0.0318069960660659,1.5291144891001776,-0.6680253000833082,0.4414285714285714,13.942677974700928
